crim,indus,tax,medv
0.00632,2.31,296,24
0.02731,7.07,242,21.6
0.02729,7.07,242,34.7
0.03237,2.18,222,33.4
0.06905,2.18,222,36.2
0.02985,2.18,222,28.7
0.08829,7.87,311,22.9
0.14455,7.87,311,27.1
0.21124,7.87,311,16.5
0.17004,7.87,311,18.9
0.22489,7.87,311,15
0.11747,7.87,311,18.9
0.09378,7.87,311,21.7
0.62976,8.14,307,20.4
0.63796,8.14,307,18.2
0.62739,8.14,307,19.9
1.05393,8.14,307,23.1
0.7842,8.14,307,17.5
0.80271,8.14,307,20.2
0.7258,8.14,307,18.2
1.25179,8.14,307,13.6
0.85204,8.14,307,19.6
1.23247,8.14,307,15.2
0.98843,8.14,307,14.5
0.75026,8.14,307,15.6
0.84054,8.14,307,13.9
0.67191,8.14,307,16.6
0.95577,8.14,307,14.8
0.77299,8.14,307,18.4
1.00245,8.14,307,21
1.13081,8.14,307,12.7
1.35472,8.14,307,14.5
1.38799,8.14,307,13.2
1.15172,8.14,307,13.1
1.61282,8.14,307,13.5
0.06417,5.96,279,18.9
0.09744,5.96,279,20
0.08014,5.96,279,21
0.17505,5.96,279,24.7
0.02763,2.95,252,30.8
0.03359,2.95,252,34.9
0.12744,6.91,233,26.6
0.1415,6.91,233,25.3
0.15936,6.91,233,24.7
0.12269,6.91,233,21.2
0.17142,6.91,233,19.3
0.18836,6.91,233,20
0.22927,6.91,233,16.6
0.25387,6.91,233,14.4
0.21977,6.91,233,19.4
0.08873,5.64,243,19.7
0.04337,5.64,243,20.5
0.0536,5.64,243,25
0.04981,5.64,243,23.4
0.0136,4,469,18.9
0.01311,1.22,226,35.4
0.02055,0.74,313,24.7
0.01432,1.32,256,31.6
0.15445,5.13,284,23.3
0.10328,5.13,284,19.6
0.14932,5.13,284,18.7
0.17171,5.13,284,16
0.11027,5.13,284,22.2
0.1265,5.13,284,25
0.01951,1.38,216,33
0.03584,3.37,337,23.5
0.04379,3.37,337,19.4
0.05789,6.07,345,22
0.13554,6.07,345,17.4
0.12816,6.07,345,20.9
0.08826,10.81,305,24.2
0.15876,10.81,305,21.7
0.09164,10.81,305,22.8
0.19539,10.81,305,23.4
0.07896,12.83,398,24.1
0.09512,12.83,398,21.4
0.10153,12.83,398,20
0.08707,12.83,398,20.8
0.05646,12.83,398,21.2
0.08387,12.83,398,20.3
0.04113,4.86,281,28
0.04462,4.86,281,23.9
0.03659,4.86,281,24.8
0.03551,4.86,281,22.9
0.05059,4.49,247,23.9
0.05735,4.49,247,26.6
0.05188,4.49,247,22.5
0.07151,4.49,247,22.2
0.0566,3.41,270,23.6
0.05302,3.41,270,28.7
0.04684,3.41,270,22.6
0.03932,3.41,270,22
0.04203,15.04,270,22.9
0.02875,15.04,270,25
0.04294,15.04,270,20.6
0.12204,2.89,276,28.4
0.11504,2.89,276,21.4
0.12083,2.89,276,38.7
0.08187,2.89,276,43.8
0.0686,2.89,276,33.2
0.14866,8.56,384,27.5
0.11432,8.56,384,26.5
0.22876,8.56,384,18.6
0.21161,8.56,384,19.3
0.1396,8.56,384,20.1
0.13262,8.56,384,19.5
0.1712,8.56,384,19.5
0.13117,8.56,384,20.4
0.12802,8.56,384,19.8
0.26363,8.56,384,19.4
0.10793,8.56,384,21.7
0.10084,10.01,432,22.8
0.12329,10.01,432,18.8
0.22212,10.01,432,18.7
0.14231,10.01,432,18.5
0.17134,10.01,432,18.3
0.13158,10.01,432,21.2
0.15098,10.01,432,19.2
0.13058,10.01,432,20.4
0.14476,10.01,432,19.3
0.06899,25.65,188,22
0.07165,25.65,188,20.3
0.09299,25.65,188,20.5
0.15038,25.65,188,17.3
0.09849,25.65,188,18.8
0.16902,25.65,188,21.4
0.38735,25.65,188,15.7
0.25915,21.89,437,16.2
0.32543,21.89,437,18
0.88125,21.89,437,14.3
0.34006,21.89,437,19.2
1.19294,21.89,437,19.6
0.59005,21.89,437,23
0.32982,21.89,437,18.4
0.97617,21.89,437,15.6
0.55778,21.89,437,18.1
0.32264,21.89,437,17.4
0.35233,21.89,437,17.1
0.2498,21.89,437,13.3
0.54452,21.89,437,17.8
0.2909,21.89,437,14
1.62864,21.89,437,14.4
3.32105,19.58,403,13.4
4.0974,19.58,403,15.6
2.77974,19.58,403,11.8
2.37934,19.58,403,13.8
2.15505,19.58,403,15.6
2.36862,19.58,403,14.6
2.33099,19.58,403,17.8
2.73397,19.58,403,15.4
1.6566,19.58,403,21.5
1.49632,19.58,403,19.6
1.12658,19.58,403,15.3
2.14918,19.58,403,19.4
1.41385,19.58,403,17
3.53501,19.58,403,15.6
2.44668,19.58,403,13.1
1.22358,19.58,403,41.3
1.34284,19.58,403,24.3
1.42502,19.58,403,23.3
1.27346,19.58,403,27
1.46336,19.58,403,50
1.83377,19.58,403,50
1.51902,19.58,403,50
2.24236,19.58,403,22.7
2.924,19.58,403,25
2.01019,19.58,403,50
1.80028,19.58,403,23.8
2.3004,19.58,403,23.8
2.44953,19.58,403,22.3
1.20742,19.58,403,17.4
2.3139,19.58,403,19.1
0.13914,4.05,296,23.1
0.09178,4.05,296,23.6
0.08447,4.05,296,22.6
0.06664,4.05,296,29.4
0.07022,4.05,296,23.2
0.05425,4.05,296,24.6
0.06642,4.05,296,29.9
0.0578,2.46,193,37.2
0.06588,2.46,193,39.8
0.06888,2.46,193,36.2
0.09103,2.46,193,37.9
0.10008,2.46,193,32.5
0.08308,2.46,193,26.4
0.06047,2.46,193,29.6
0.05602,2.46,193,50
